bathrooms,bedrooms,city,homeStatus,homeType,latitude,livingArea,longitude,price,state,streetAddress,zipcode,zpid
2.0,3.0,Staten Island,FOR_SALE,SINGLE_FAMILY,40.5528,1410.0,-74.171555,765000.0,NY,90 Scranton Ave,10312,32355995
1.0,1.0,New York,FOR_SALE,CONDO,40.72799,0.0,-74.00015,445000.0,NY,181 Thompson St APT 22,10012,113975922
2.0,3.0,Jamaica,FOR_SALE,SINGLE_FAMILY,40.70435,1265.0,-73.7301,300000.0,NY,22702 112th Rd,11429,32163775
2.0,3.0,Cambria Heights,FOR_SALE,SINGLE_FAMILY,40.701347,3000.0,-73.74678,625000.0,NY,114-20 208th St,11411,32158947
1.0,2.0,New York,FOR_SALE,CONDO,40.763317,0.0,-73.99108,480000.0,NY,434 W 49th St APT 1W,10019,219662253
6.0,5.0,New York,FOR_SALE,SINGLE_FAMILY,40.771927,6600.0,-73.96032,28000000.0,NY,178 E 75th St,10021,31535475
5.0,4.0,New York,FOR_SALE,CONDO,40.764954,6512.0,-73.97757,49000000.0,NY,111 W 57th St #PENTHOUSE 76,10019,442155685
2.0,3.0,Flushing,FOR_SALE,SINGLE_FAMILY,40.776478,1080.0,-73.80973,868888.0,NY,24-10 154th Street,11357,32031928
2.0,2.0,Staten Island,FOR_SALE,TOWNHOUSE,40.56296,1500.0,-74.1398,499999.0,NY,44 Hart Loop,10306,32340398
5.0,3.0,Staten Island,FOR_SALE,SINGLE_FAMILY,40.637238,1716.0,-74.12095,550000.0,NY,76 Alaska St,10310,68316766
1.0,2.0,Brooklyn,FOR_SALE,SINGLE_FAMILY,40.688232,0.0,-73.91474,350000.0,NY,1050 Hancock St APT 3E,11221,2113365341
1.0,2.0,Far Rockaway,FOR_SALE,CONDO,40.595795,900.0,-73.74949,217000.0,NY,14-30 Seagirt Blvd #4C,11691,323055859
2.0,4.0,Brooklyn,FOR_SALE,MULTI_FAMILY,40.675823,1680.0,-73.88281,399900.0,NY,399 Linwood Street,11208,30638750
3.0,5.0,Brooklyn,FOR_SALE,TOWNHOUSE,40.684425,2912.0,-73.996864,3350000.0,NY,357 Clinton St,11231,30569230
1.0,3.0,Bronx,FOR_SALE,CONDO,40.848816,1100.0,-73.90534,275000.0,NY,212 E Tremont Ave #9,10457,2054481177
15.0,7.0,New York,FOR_SALE,SINGLE_FAMILY,40.76873,13017.0,-73.96869,44950000.0,NY,10 E 67th St,10065,31533539
3.0,4.0,Bayside Hills,FOR_SALE,SINGLE_FAMILY,40.754734,2236.0,-73.76435,1198800.0,NY,4916 216th Street,11364,32083657
2.0,3.0,Staten Island,FOR_SALE,SINGLE_FAMILY,40.643787,988.0,-74.096794,548000.0,NY,238 Van Buren Street,10301,32272043
